METADATA:,,,,,,,,,,
Block Runtime,Experiment Seed,Subject,,,,,,,,
90,8707290,subject010,,,,,,,,
Time after setup,7.9334354,,,,,,,,,
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
Math Trial End,1074.075646,TRUE,,,,,,,,
Math Trial End,1074.075696,TRUE,,,,,,,,
Math Trial Start,1076.105604,,,,,,,,,
Choice presented,1076.110401,,,,,,,,,
Choice made,1078.158141,,,,,,,,,
Math Trial End,1078.15817,TRUE,,,,,,,,
Math Trial End,1078.158184,TRUE,,,,,,,,
Math Trial Start,1080.183765,,,,,,,,,
Choice presented,1080.193657,,,,,,,,,
Choice made,1082.208687,,,,,,,,,
Math Trial End,1082.208779,TRUE,,,,,,,,
Math Trial End,1082.208831,TRUE,,,,,,,,
Math Trial Start,1084.234618,,,,,,,,,
Choice presented,1084.243491,,,,,,,,,
Choice made,1086.108505,,,,,,,,,
Math Trial End,1086.108597,TRUE,,,,,,,,
Math Trial End,1086.108647,TRUE,,,,,,,,
Math Trial Start,1088.140627,,,,,,,,,
Choice presented,1088.159973,,,,,,,,,
Choice made,1090.124445,,,,,,,,,
Math Trial End,1090.124474,TRUE,,,,,,,,
Math Trial End,1090.12449,TRUE,,,,,,,,
Math Trial Start,1092.154587,,,,,,,,,
Choice presented,1092.159853,,,,,,,,,
Choice made,1094.040802,,,,,,,,,
Math Trial End,1094.040834,TRUE,,,,,,,,
Math Trial End,1094.040847,TRUE,,,,,,,,
